sample,genotype,ZT,ZT_numeric,replicate
367269,PinK,ZT2,2,a
367270,PinK,ZT2,2,b
367271,PinK,ZT2,2,c
367272,cwo_mut,ZT2,2,a
367273,cwo_mut,ZT2,2,b
367274,cwo_mut,ZT2,2,c
367277,PinK,ZT6,6,a
367278,PinK,ZT6,6,b
367279,PinK,ZT6,6,c
367280,cwo_mut,ZT6,6,a
367281,cwo_mut,ZT6,6,b
367282,cwo_mut,ZT6,6,c
367286,PinK,ZT10,10,a
367287,PinK,ZT10,10,b
367288,PinK,ZT10,10,c
367289,cwo_mut,ZT10,10,a
367290,cwo_mut,ZT10,10,b
367291,cwo_mut,ZT10,10,c
367295,PinK,ZT14,14,a
367296,PinK,ZT14,14,b
367297,PinK,ZT14,14,c
367298,cwo_mut,ZT14,14,a
367299,cwo_mut,ZT14,14,b
367300,cwo_mut,ZT14,14,c
367304,PinK,ZT18,18,a
367305,PinK,ZT18,18,b
367306,PinK,ZT18,18,c
367307,cwo_mut,ZT18,18,a
367308,cwo_mut,ZT18,18,b
367309,cwo_mut,ZT18,18,c
367313,PinK,ZT22,22,a
367314,PinK,ZT22,22,b
367315,PinK,ZT22,22,c
367316,cwo_mut,ZT22,22,a
367317,cwo_mut,ZT22,22,b
367318,cwo_mut,ZT22,22,c
367322,PinK,ZT2.2,26,a
367323,PinK,ZT2.2,26,b
367324,PinK,ZT2.2,26,c
367325,cwo_mut,ZT2.2,26,a
367326,cwo_mut,ZT2.2,26,b
367327,cwo_mut,ZT2.2,26,c
